keyword,rank,url,thumb_url,is_full,title,catch_copy,review_url,review_summary,type,reason,img,color
財布 レディース,1,https://event-canary.rmp.rakuten.co.jp/eclk,https://s-cdn.rmp.rakuten.co.jp/runa/42317/137e9460-ac42-499e-a63a-63124949fa2a.jpeg?_ex=200x200,True,eclk (1×1),,,なし,シンプル,短尺 (シンプル),2026-07-09_財布_レディース_rank1.jpg,#555
財布 レディース,2,https://item.rakuten.co.jp/morevalue/m3/,https://tshop.r10s.jp/morevalue/cabinet/m3/m3_01_5r.jpg?_ex=200x200,True,【楽天市場】＼7/11 1:59までクーポンで1000円OFF／財布 レディース 長財布 小さめ 小さい長財布 短い長財布 本革 コンパクト 薄い 薄型 L字ファスナー スキミング防止 ミドルウォレット バイカラー お洒落 カードケース カード入れ プレゼント ギフト 薄い財布 スリム : LASIEM（ラシエム）,,https://review.rakuten.co.jp/item/1/366493_10000415/1.1/?l-id=item_SP_SeeItemReview_top,高見え プレゼント 可愛い リピート おすすめ,SNS型,"SNSキーワードあり | レビューKW: 高見え,プレゼント,可愛い,リピート,おすすめ",2026-07-09_財布_レディース_rank2.jpg,#e1306c
財布 レディース,3,https://item.rakuten.co.jp/morevalue/t19/,https://tshop.r10s.jp/morevalue/cabinet/rt19/rt19b_01_02r.jpg?_ex=200x200,True,【楽天市場】＼7/11 1:59までクーポンで500円OFF／【ラシエム公式】 財布 レディース ミニ財布 本革 ミニ カードケース カード入れ 大容量 ゴールド ファスナー ミニウォレット コンパクト コインケース 二つ折り じゃばら 小銭入れ お札が折れない カード収納 ブランド : LASIEM（ラシエム）,,https://review.rakuten.co.jp/item/1/366493_10000243/1.1/?l-id=item_SP_SeeItemReview_top,安っぽい 高見え プレゼント 可愛い リピート,SNS型,"SNSキーワードあり | レビューKW: 安っぽい,高見え,プレゼント,可愛い,リピート",2026-07-09_財布_レディース_rank3.jpg,#e1306c
財布 レディース,4,https://item.rakuten.co.jp/morevalue/st5/,https://tshop.r10s.jp/morevalue/cabinet/11008152/st5_01_04i.jpg?_ex=200x200,True,【楽天市場】＼7/11 1:59までクーポンで500円OFF／【LASIEMオリジナル】財布 ミニ財布 レディース ミニ 本革 カードケース ベルト付きじゃばらミニ財布 カード入れ ミニウォレット コンパクト コインケース 二つ折り じゃばら 小銭入れ お札が折れない 収納 ブランド プレゼント : LASIEM（ラシエム）,,https://review.rakuten.co.jp/item/1/366493_10000443/1.1/?l-id=item_SP_SeeItemReview_top,プレゼント 可愛い サイズ感 お得 雑,SNS型,"SNSキーワードあり | レビューKW: プレゼント,可愛い,サイズ感,お得,雑",2026-07-09_財布_レディース_rank4.jpg,#e1306c
財布 レディース,5,https://item.rakuten.co.jp/style-on-bag/lz-615/,https://tshop.r10s.jp/style-on-bag/cabinet/th/lz-615.jpg?_ex=200x200,True,【楽天市場】＼クーポンで20%OFF／＼累計8万個突破／財布 レディース 本革 二つ折り財布 札 小銭 同じ向き LIZDAYS リズデイズ コンパクト さいふ カードケース 小銭入れ 革 ミニサイズ バイカラー タッセル ギフト プレゼント L字ファスナー おしゃれ スタイルオンバッグ 母の日 : スタイルオンバッグ,,https://review.rakuten.co.jp/item/1/304143_10002501/1.1/?l-id=item_SP_SeeItemReview_top,高見え プレゼント 可愛い ちょうどいい リピート,SNS型,"SNSキーワードあり | レビューKW: 高見え,プレゼント,可愛い,ちょうどいい,リピート",2026-07-09_財布_レディース_rank5.jpg,#e1306c
財布 レディース,6,https://item.rakuten.co.jp/grav-online/grv0300101/,https://tshop.r10s.jp/grav-online/cabinet/event/lwl2bic_mara20off.jpg?_ex=200x200,False,,,,なし,－,,,#ccc
財布 レディース,7,https://item.rakuten.co.jp/backyard/lz615/,https://tshop.r10s.jp/backyard/cabinet/main08/lz615.jpg?_ex=200x200,False,,,,なし,－,,,#ccc
財布 レディース,8,https://item.rakuten.co.jp/kinoco/cs-17/,https://tshop.r10s.jp/kinoco/cabinet/item/cs-17/cs-17_flick-2601.jpg?_ex=200x200,False,,,,なし,－,,,#ccc
財布 レディース,9,https://item.rakuten.co.jp/allrightleather/waa7412/,https://tshop.r10s.jp/allrightleather/cabinet/kihon4/waa74121.jpg?_ex=200x200,False,,,,なし,－,,,#ccc
財布 レディース,10,https://item.rakuten.co.jp/wide/61298/,https://tshop.r10s.jp/wide/cabinet/guide/75564-800-r1.jpg?_ex=200x200,False,,,,なし,－,,,#ccc
